x_mean,y_mean,z_mean,x_Var,y_Var,z_Var,x_sd,y_sd,z_sd,mean_mag,mag_mean,cov_xy,cov_yz,cov_zx,avg_power,power_spec,Label,User
0.274650,2.203400,-1.007400,2.776060,2.054363,2.558792,1.666151,1.433305,1.599623,2.438290,3.132108,-0.039940,-1.567375,-1.484305,54.253785,54.253785,1,1
-0.712100,3.917250,-1.988700,1.167008,3.157687,1.082445,1.080281,1.776988,1.040406,4.450490,4.592511,-0.975829,-1.288479,-0.057700,32.314876,32.314876,1,1
-1.529750,4.562650,-0.227900,0.633989,1.837176,8.546265,0.796234,1.355425,2.923400,4.817660,5.625230,-0.062697,-0.271166,-0.199666,58.848487,58.848487,1,1
-1.145950,2.835850,2.739700,0.591780,2.695265,4.522467,0.769272,1.641726,2.126609,4.106239,4.677164,-0.361945,-0.140484,0.585978,37.507839,37.507839,1,1
-0.371450,1.350700,2.341850,0.211359,0.149795,2.078637,0.459738,0.387034,1.441748,2.728851,2.805712,-0.021231,0.447408,-0.429048,6.775319,6.775319,1,1
0.148750,1.287100,0.594300,0.192249,0.083157,0.755461,0.438462,0.288370,0.869173,1.425463,1.667823,0.068362,-0.228400,-0.288674,4.095255,4.095255,1,1
0.549500,1.508050,-0.331500,0.848114,0.206872,0.894912,0.920931,0.454832,0.945998,1.638920,1.926378,0.096288,-0.164069,-0.639816,22.153164,22.153164,1,1
0.036550,1.659250,-0.074200,1.375078,0.546030,1.582942,1.172637,0.738938,1.258150,1.661310,2.225454,-0.140062,0.454902,-1.232662,26.153195,26.153195,1,1
-0.541400,2.514700,-0.361850,0.572722,1.283184,2.165948,0.756784,1.132777,1.471716,2.597646,2.995852,0.083961,-0.685166,-0.548510,16.744000,16.744000,1,1
-0.527750,4.380350,-2.063250,1.175918,1.960345,1.295497,1.084398,1.400123,1.138199,4.870625,5.031147,-0.308060,-1.170863,-0.302203,27.912851,27.912851,1,1
-1.330550,4.709750,-0.896900,2.340418,1.934326,7.505552,1.529842,1.390800,2.739626,4.975594,5.870222,0.805306,-2.279004,-2.553109,79.875209,79.875209,1,1
-1.211400,2.934250,2.474000,1.853809,2.113591,6.726700,1.361546,1.453819,2.593588,4.024673,4.890751,-0.411436,-1.926675,0.153461,64.572166,64.572166,1,1
-0.166950,1.663450,2.454100,0.159843,0.235249,3.552240,0.399803,0.485025,1.884739,2.969435,3.091088,-0.149916,0.739388,-0.604419,3.594457,3.594457,1,1
0.629850,1.511950,0.194550,2.100359,0.142794,1.514701,1.449261,0.377881,1.230732,1.649410,2.173889,0.127064,-0.343721,-1.254938,47.841033,47.841033,1,1
0.494550,1.407700,-0.305900,2.558272,0.316550,1.058902,1.599460,0.562628,1.029030,1.523080,2.036755,0.076743,-0.132467,-1.122967,53.498753,53.498753,1,1
-0.102050,2.187800,-0.893000,0.505285,2.503710,1.710449,0.710834,1.582312,1.307841,2.365234,2.610461,0.187060,-1.656095,-0.429662,9.808701,9.808701,1,1
-0.311500,3.905600,-2.116600,0.925234,2.716095,1.032007,0.961891,1.648058,1.015877,4.453172,4.588759,-0.324352,-1.100454,-0.492476,19.520092,19.520092,1,1
-1.408800,4.403000,-0.045500,1.885877,2.117880,11.832071,1.373273,1.455294,3.439778,4.623115,5.821729,-0.011997,-0.729619,-2.978858,75.526020,75.526020,1,1
-1.479950,2.770450,2.910150,1.307556,3.500353,6.639136,1.143484,1.870923,2.576652,4.281894,4.996741,-1.122328,-0.607330,-0.459497,68.648599,68.648599,1,1
-0.558700,1.291600,2.287900,0.248111,0.243486,2.373063,0.498108,0.493443,1.540475,2.686050,2.794717,-0.158316,0.441266,-0.595538,10.957032,10.957032,1,1
0.195900,1.572300,0.258100,1.761710,0.249264,2.365834,1.327294,0.499264,1.538127,1.605341,2.342725,0.215558,-0.507429,-1.726011,34.240032,34.240032,1,1
0.227900,1.787900,-0.449950,1.874883,0.429671,1.644304,1.369264,0.655493,1.282304,1.857681,2.367360,-0.042857,-0.190940,-1.156263,36.661540,36.661540,1,1
-0.130850,2.988450,-1.541950,0.382654,2.423111,1.826604,0.618591,1.556634,1.351519,3.365348,3.501594,0.266563,-1.863149,-0.201413,7.612869,7.612869,1,1
-1.053600,4.748000,-2.140250,1.662647,1.583600,1.265801,1.289437,1.258412,1.125078,5.313591,5.593381,-0.173994,-0.394776,-1.116609,53.791758,53.791758,1,1
-1.222800,3.805250,1.130000,1.935512,3.444384,8.801760,1.391227,1.855905,2.966776,4.153561,5.404372,-0.754569,-4.598898,1.978931,66.679528,66.679528,1,1
-0.134750,1.787300,2.672800,0.867401,0.775503,2.249728,0.931343,0.880627,1.499909,3.218145,3.404223,0.290622,0.539422,-0.369899,16.843761,16.843761,1,1
0.059350,1.258200,0.944150,0.069538,0.054523,0.689404,0.263700,0.233501,0.830304,1.574169,1.733850,0.018151,-0.086703,0.079690,1.391663,1.391663,1,1
0.439850,1.482800,0.039450,2.882800,0.255898,1.034502,1.697881,0.505864,1.017105,1.547165,2.131855,0.044519,-0.204539,-1.169506,58.642551,58.642551,1,1
0.218150,1.816450,-0.632750,3.162579,0.701235,1.320341,1.778364,0.837398,1.149061,1.935834,2.587541,-0.172213,-0.506789,-0.791257,61.040783,61.040783,1,1
-0.044100,3.500450,-1.887400,0.753322,3.188070,1.122121,0.867941,1.785517,1.059302,3.977106,4.089559,-0.005087,-1.401523,-0.485191,14.352014,14.352014,1,1
-0.727900,4.666350,-1.571100,2.075847,1.813434,2.213243,1.440780,1.346638,1.487697,4.977250,5.377416,-0.216475,-0.070986,-1.033724,50.037870,50.037870,1,1
-2.150400,3.294500,2.347100,1.487922,3.773196,9.640293,1.219804,1.942472,3.104882,4.581138,5.603888,0.038962,-2.465154,-1.577317,120.754912,120.754912,1,1
-1.592150,1.578150,3.189150,1.890755,1.784380,4.947390,1.375047,1.335807,2.224273,3.898227,4.004781,-1.021297,1.802540,-2.779437,86.623169,86.623169,1,1
-0.305900,1.158400,0.858800,0.138395,0.055506,0.299295,0.372015,0.235597,0.547079,1.474111,1.601019,0.080183,-0.113606,-0.173676,4.501006,4.501006,1,1
0.295900,1.748800,-0.033250,0.617973,0.549343,0.724029,0.786112,0.741176,0.850899,1.773968,2.069871,0.062745,-0.132538,-0.415993,13.492614,13.492614,1,1
0.059400,1.683050,-0.270500,0.859798,0.792952,0.603875,0.927253,0.890479,0.777094,1.705683,2.035675,0.139251,-0.150715,-0.349426,16.406732,16.406732,1,1
-0.336150,2.777000,-1.366600,0.386668,3.213444,2.263432,0.621826,1.792608,1.504471,3.113249,3.279487,0.545713,-2.650751,-0.450208,9.606621,9.606621,1,1
-0.980250,4.770450,-2.164650,1.238011,1.431006,1.266217,1.112660,1.196247,1.125263,5.329521,5.529050,-0.021101,-0.519003,-0.949050,42.740019,42.740019,1,1
-1.142400,4.359700,1.351900,2.403895,2.484047,13.176719,1.550450,1.576086,3.629975,4.705284,6.112920,0.349828,-3.247395,1.319607,71.775568,71.775568,1,1
-0.312900,2.421450,3.147750,1.823646,2.267711,5.007585,1.350424,1.505892,2.237763,3.983674,4.384789,0.721145,1.283706,-0.600324,36.607408,36.607408,1,1
-0.028350,1.381900,1.281850,0.077817,0.063548,0.848988,0.278957,0.252088,0.921406,1.885097,1.996394,0.044637,0.059757,0.011726,1.494593,1.494593,1,1
